step;virtual;physical
556;2145;1906
557;2145;1906
558;2145;1905
559;2145;1905
560;2145;1904
561;2146;1905
562;2148;1906
563;2148;1905
564;2147;1904
565;2150;1907
566;2151;1908
567;2151;1908
568;2151;1907
569;2151;1907
570;2150;1905
571;2151;1905
572;2152;1906
573;2153;1906
574;2155;1908
575;2154;1906
576;2154;1906
577;2156;1906
578;2157;1908
579;2157;1907
580;2158;1906
581;2158;1906
582;2158;1906
583;2160;1908
584;2160;1908
585;2159;1908
586;2160;1908
587;2160;1908
588;2160;1907
589;2161;1908
590;2161;1908
591;2161;1907
592;2162;1906
593;2164;1908
594;2165;1908
595;2165;1908
596;2164;1907
597;2164;1905
598;2166;1907
599;2166;1908
600;2167;1907
601;2167;1906
602;2168;1906
603;2168;1906
604;2171;1908
605;2171;1906
606;2171;1906
607;2174;1908
608;2174;1908
609;2174;1908
610;2174;1908
611;2174;1906
612;2175;1908
613;2177;1908
614;2177;1908
615;2177;1908
616;2178;1907
617;2178;1907
618;2180;1906
619;2184;1908
620;2184;1908
621;2185;1908
622;2185;1905
623;2186;1905
624;2188;1907
625;2188;1907
626;2188;1906
627;2190;1906
628;2189;1905
629;2191;1907
630;2193;1908
631;2192;1905
632;2192;1905
633;2195;1906
634;2197;1907
635;2200;1905
636;2200;1905
637;2201;1906
638;2203;1907
639;2204;1908
640;2205;1908
641;2205;1908
642;2203;1907
643;2204;1907
644;2205;1908
645;2205;1905
646;2205;1904
647;2205;1903
648;2207;1905
649;2210;1906
650;2210;1906
651;2211;1906
652;2213;1908
653;2214;1907
654;2213;1906
655;2213;1906
656;2212;1905
657;2213;1904
658;2214;1902
659;2216;1904
660;2217;1904
661;2220;1905
662;2222;1907
663;2224;1907
664;2224;1905
665;2223;1904
666;2226;1907
667;2228;1908
668;2226;1906
669;2227;1906
670;2227;1906
671;2229;1908
672;2230;1908
673;2230;1908
674;2230;1907
675;2231;1907
676;2232;1908
677;2231;1907
678;2232;1908
679;2232;1908
680;2232;1907
681;2232;1907
682;2233;1908
683;2233;1908
684;2232;1907
685;2233;1907
686;2234;1908
687;2235;1908
688;2235;1908
689;2236;1907
690;2236;1908
691;2237;1908
692;2236;1906
693;2236;1905
694;2238;1906
695;2240;1905
696;2242;1907
697;2245;1906
698;2245;1906
699;2246;1903
700;2248;1905
701;2251;1908
702;2251;1908
703;2251;1908
704;2250;1907
705;2252;1908
706;2251;1907
707;2252;1907
708;2251;1906
709;2251;1906
710;2251;1906
711;2253;1908
712;2252;1906
713;2252;1904
714;2254;1906
715;2256;1907
716;2256;1908
717;2257;1906
718;2257;1904
719;2257;1904
720;2257;1904
721;2258;1904
722;2259;1905
723;2259;1904
724;2260;1904
725;2261;1903
726;2263;1903
727;2264;1903
728;2267;1906
729;2271;1905
730;2271;1905
731;2272;1906
732;2271;1905
733;2271;1905
734;2271;1905
735;2273;1907
736;2273;1907
737;2273;1907
738;2274;1905
739;2274;1905
740;2276;1907
741;2278;1908
742;2277;1907
743;2277;1907
744;2275;1905
745;2275;1904
746;2277;1906
747;2279;1908
748;2280;1908
749;2281;1908
750;2280;1906
751;2282;1908
752;2280;1905
753;2281;1902
754;2282;1902
755;2282;1900
756;2284;1902
757;2287;1904
758;2290;1904
759;2292;1905
760;2293;1907
761;2294;1908
762;2293;1907
763;2292;1905
764;2292;1905
765;2291;1903
766;2295;1903
767;2297;1904
768;2300;1907
769;2300;1907
770;2301;1907
771;2301;1905
772;2304;1908
773;2303;1906
774;2303;1905
775;2303;1904
776;2303;1904
777;2304;1899
778;2304;1898
779;2304;1898
780;2308;1898
781;2309;1899
782;2311;1901
783;2311;1901
784;2312;1903
785;2316;1906
786;2317;1907
787;2318;1908
788;2317;1907
789;2317;1907
790;2318;1908
791;2316;1905
792;2316;1901
793;2316;1900
794;2318;1901
795;2322;1904
796;2324;1905
797;2326;1907
798;2325;1905
799;2328;1904
800;2331;1906
801;2333;1907
802;2334;1908
803;2334;1907
804;2334;1907
805;2336;1906
806;2336;1906
807;2336;1906
808;2337;1906
809;2338;1907
810;2339;1908
811;2339;1908
812;2340;1907
813;2341;1906
814;2342;1905
815;2343;1905
816;2345;1906
817;2348;1908
818;2347;1907
819;2345;1905
820;2345;1904
821;2346;1905
822;2348;1907
823;2349;1908
824;2347;1906
825;2349;1908
826;2350;1908
827;2350;1907
828;2350;1906
829;2350;1906
830;2352;1907
831;2353;1907
832;2353;1908
833;2353;1908
834;2353;1908
835;2354;1908
836;2354;1908
837;2354;1908
838;2355;1908
839;2355;1908
840;2353;1906
841;2355;1908
842;2355;1908
843;2357;1908
844;2357;1908
845;2357;1908
846;2357;1908
847;2357;1908
848;2357;1908
849;2358;1908
850;2357;1907
851;2360;1908
852;2360;1908
853;2360;1905
854;2360;1905
855;2361;1905
856;2363;1906
857;2364;1906
858;2366;1908
859;2366;1906
860;2365;1906
861;2368;1908
862;2368;1907
863;2367;1903
864;2368;1903
865;2369;1904
866;2371;1906
867;2372;1906
868;2374;1907
869;2375;1908
870;2374;1907
871;2373;1905
872;2374;1905
873;2376;1906
874;2379;1908
875;2379;1905
876;2379;1904
877;2380;1903
878;2382;1905
879;2385;1902
880;2387;1904
881;2389;1906
882;2391;1908
883;2390;1908
884;2390;1907
885;2389;1905
886;2390;1906
887;2392;1907
888;2392;1908
889;2393;1908
890;2393;1908
891;2393;1908
892;2393;1908
893;2393;1908
894;2393;1907
895;2393;1907
896;2393;1907
897;2392;1906
898;2392;1906
899;2394;1907
900;2395;1908
901;2395;1908
902;2395;1907
903;2395;1907
904;2396;1905
905;2397;1905
906;2399;1907
907;2401;1907
908;2402;1907
909;2403;1907
910;2405;1908
911;2405;1908
912;2405;1907
913;2405;1907
914;2405;1907
915;2407;1908
916;2407;1908
917;2406;1907
918;2406;1907
919;2406;1906
920;2407;1906
921;2408;1907
922;2410;1908
923;2412;1905
924;2412;1905
925;2414;1906
926;2416;1907
